,section,drug,pt_meddra_id,class,Pred0,Pred1,scored,split
0,AR,ACTEMRA,10000081,not_event,0.27062270045280457,0.0,scored,test
1,AR,ACTEMRA,10000087,is_event,0.0,7.458376407623291,scored,test
2,AR,ACTEMRA,10000220,not_event,9.525578260421753,0.0,scored,test
3,AR,ACTEMRA,10000269,is_event,0.0,2.609661340713501,scored,test
4,AR,ACTEMRA,10000565,not_event,9.456971168518066,0.0,scored,test
5,AR,ACTEMRA,10000891,not_event,9.152807235717773,0.0,scored,test
6,AR,ACTEMRA,10001052,not_event,2.083793150054084,0.0,scored,test
7,AR,ACTEMRA,10001551,is_event,0.0,6.067141532897949,scored,test
8,AR,ACTEMRA,10002026,not_event,9.544247806072235,0.0,scored,test
9,AR,ACTEMRA,10002198,is_event,0.0,6.684596538543701,scored,test
10,AR,ACTEMRA,10002368,not_event,9.51498017992292,0.0,scored,test
11,AR,ACTEMRA,10002424,is_event,0.0,7.381635904312134,scored,test
12,AR,ACTEMRA,10002807,not_event,9.484243869781494,0.0,scored,test
13,AR,ACTEMRA,10003239,is_event,0.0,7.510413646697998,scored,test
14,AR,ACTEMRA,10003246,not_event,9.440795421600342,0.0,scored,test
15,AR,ACTEMRA,10005169,not_event,3.6792377471923827,0.0,scored,test
16,AR,ACTEMRA,10005362,not_event,9.352591514587402,0.0,scored,test
17,AR,ACTEMRA,10005364,is_event,0.0,4.352433085441589,scored,test
18,AR,ACTEMRA,10005373,not_event,9.518781661987305,0.0,scored,test
19,AR,ACTEMRA,10005416,not_event,9.552761254487214,0.0,scored,test
20,AR,ACTEMRA,10005422,not_event,9.357836484909058,0.0,scored,test
21,AR,ACTEMRA,10005439,not_event,9.551062483536569,0.0,scored,test
22,AR,ACTEMRA,10005467,not_event,9.521482785542807,0.0,scored,test
23,AR,ACTEMRA,10005571,not_event,9.532023620605468,0.0,scored,test
24,AR,ACTEMRA,10005583,not_event,9.533229351043701,0.0,scored,test
25,AR,ACTEMRA,10005616,not_event,9.539709197150337,0.0,scored,test
26,AR,ACTEMRA,10005639,not_event,9.443330764770508,0.0,scored,test
27,AR,ACTEMRA,10005717,not_event,9.5551148308648,0.0,scored,test
28,AR,ACTEMRA,10005721,not_event,9.545819422294354,0.0,scored,test
29,AR,ACTEMRA,10005793,not_event,9.554291501641273,0.0,scored,test
30,AR,ACTEMRA,10005836,not_event,9.29579782485962,0.0,scored,test
31,AR,ACTEMRA,10006451,is_event,0.0,7.49130392074585,scored,test
32,AR,ACTEMRA,10007882,is_event,0.0,7.515109062194824,scored,test
33,AR,ACTEMRA,10009825,not_event,8.482200622558594,0.0,scored,test
34,AR,ACTEMRA,10010234,not_event,9.532968680063883,0.0,scored,test
35,AR,ACTEMRA,10010741,is_event,0.0,4.5825276374816895,scored,test
36,AR,ACTEMRA,10011224,is_event,0.0,7.522517681121825,scored,test
37,AR,ACTEMRA,10011906,is_event,0.0,0.0,scored,test
38,AR,ACTEMRA,10012735,is_event,0.0,7.491284370422363,scored,test
39,AR,ACTEMRA,10013082,not_event,3.472914695739746,0.0,scored,test
40,AR,ACTEMRA,10013442,not_event,9.529175639152527,0.0,scored,test
41,AR,ACTEMRA,10013538,is_event,0.0,7.27754545211792,scored,test
42,AR,ACTEMRA,10013573,is_event,0.0,7.509472846984862,scored,test
43,AR,ACTEMRA,10013968,is_event,0.0,7.514248371124268,scored,test
44,AR,ACTEMRA,10014011,not_event,6.638515949249268,0.0,scored,test
45,AR,ACTEMRA,10014404,not_event,9.545341938734055,0.0,scored,test
46,AR,ACTEMRA,10014695,not_event,6.6236572265625,0.0,scored,test
47,AR,ACTEMRA,10014866,not_event,5.348982810974121,0.0,scored,test
48,AR,ACTEMRA,10015150,not_event,0.0,0.7336972951889038,scored,test
49,AR,ACTEMRA,10015916,not_event,5.490603923797608,0.0,scored,test
50,AR,ACTEMRA,10016717,is_event,0.0,3.746959686279297,scored,test
51,AR,ACTEMRA,10016766,not_event,8.797056328166615,0.0,scored,test
52,AR,ACTEMRA,10017822,is_event,0.0,7.504782199859619,scored,test
53,AR,ACTEMRA,10017853,is_event,0.0,7.4914488792419425,scored,test
54,AR,ACTEMRA,10017888,is_event,0.0,7.518956899642944,scored,test
55,AR,ACTEMRA,10017944,not_event,5.350171089172363,0.0,scored,test
56,AR,ACTEMRA,10018001,is_event,0.26714121211658826,5.109061219475486,scored,test
57,AR,ACTEMRA,10018060,not_event,9.510075887044271,0.0,scored,test
58,AR,ACTEMRA,10018852,not_event,0.0,0.22602376341819763,scored,test
59,AR,ACTEMRA,10019211,is_event,0.0,7.479820523943219,scored,test
60,AR,ACTEMRA,10019663,not_event,0.0,0.8204480409622192,scored,test
61,AR,ACTEMRA,10019717,not_event,0.0,7.292774200439453,scored,test
62,AR,ACTEMRA,10019948,not_event,3.7241704463958736,0.0,scored,test
63,AR,ACTEMRA,10019974,is_event,0.0,7.499577522277832,scored,test
64,AR,ACTEMRA,10020050,not_event,9.237550417582193,0.0,scored,test
65,AR,ACTEMRA,10020061,is_event,0.0,5.483866214752196,scored,test
66,AR,ACTEMRA,10020141,not_event,9.22304916381836,0.0,scored,test
67,AR,ACTEMRA,10020751,is_event,0.0,6.3026240750363,scored,test
68,AR,ACTEMRA,10020772,is_event,0.0,7.491583704948425,scored,test
69,AR,ACTEMRA,10021097,is_event,0.0,7.493378162384033,scored,test
70,AR,ACTEMRA,10021114,is_event,0.0,7.487844467163087,scored,test
71,AR,ACTEMRA,10021789,is_event,0.019823772319848987,6.799985790598219,scored,test
72,AR,ACTEMRA,10022095,is_event,0.0,7.212295627593994,scored,test
73,AR,ACTEMRA,10022694,not_event,3.464692163467407,0.0,scored,test
74,AR,ACTEMRA,10024384,is_event,0.0,7.482631683349609,scored,test
75,AR,ACTEMRA,10024587,not_event,9.337044715881348,0.0,scored,test
76,AR,ACTEMRA,10024641,not_event,8.139467239379881,0.0,scored,test
77,AR,ACTEMRA,10024900,not_event,9.384007294972738,0.0,scored,test
78,AR,ACTEMRA,10024910,is_event,0.0,6.860926151275635,scored,test
79,AR,ACTEMRA,10028034,is_event,0.0,7.455724716186523,scored,test
80,AR,ACTEMRA,10028245,not_event,8.942343711853027,0.0,scored,test
81,AR,ACTEMRA,10028810,is_event,0.0,7.508850892384847,scored,test
82,AR,ACTEMRA,10028813,is_event,0.0,7.501535892486573,scored,test
83,AR,ACTEMRA,10029148,is_event,0.0,7.256982326507568,scored,test
84,AR,ACTEMRA,10029354,not_event,0.0,7.452885150909424,scored,test
85,AR,ACTEMRA,10029363,not_event,9.36047649383545,0.0,scored,test
86,AR,ACTEMRA,10029366,is_event,0.0,0.46805044015248615,scored,test
87,AR,ACTEMRA,10030095,not_event,7.519906234741211,0.0,scored,test
88,AR,ACTEMRA,10030124,is_event,0.0,7.410586357116699,scored,test
89,AR,ACTEMRA,10030901,is_event,0.0,6.0484137535095215,scored,test
90,AR,ACTEMRA,10030970,not_event,9.53092504270149,0.0,scored,test
91,AR,ACTEMRA,10033078,is_event,0.0,7.430973052978516,scored,test
92,AR,ACTEMRA,10033371,not_event,5.687724921438429,0.0,scored,test
93,AR,ACTEMRA,10033997,not_event,9.529228448867798,0.0,scored,test
94,AR,ACTEMRA,10034674,is_event,1.5280028581619263,0.0,scored,test
95,AR,ACTEMRA,10034835,not_event,2.419195751349131,0.0,scored,test
96,AR,ACTEMRA,10035525,not_event,9.337108612060547,0.0,scored,test
97,AR,ACTEMRA,10035528,is_event,0.0,0.666946291923523,scored,test
98,AR,ACTEMRA,10035664,is_event,0.0,7.499644994735718,scored,test
99,AR,ACTEMRA,10037087,is_event,0.0,6.926385879516602,scored,test
100,AR,ACTEMRA,10037844,is_event,0.0,7.491497993469238,scored,test
101,AR,ACTEMRA,10038428,not_event,3.5836369991302486,0.0,scored,test
102,AR,ACTEMRA,10039073,not_event,9.536445057826485,0.0,scored,test
103,AR,ACTEMRA,10040047,is_event,0.0,7.523313999176025,scored,test
104,AR,ACTEMRA,10040722,not_event,9.542246754964193,0.0,scored,test
105,AR,ACTEMRA,10040914,is_event,0.0,4.883984327316283,scored,test
106,AR,ACTEMRA,10042033,is_event,0.0,6.124447822570801,scored,test
107,AR,ACTEMRA,10042061,not_event,9.222670555114746,0.0,scored,test
108,AR,ACTEMRA,10042128,is_event,0.0,7.471271038055421,scored,test
109,AR,ACTEMRA,10042945,not_event,9.46616554260254,0.0,scored,test
110,AR,ACTEMRA,10043268,not_event,9.510203063488007,0.0,scored,test
111,AR,ACTEMRA,10043554,not_event,0.0,7.458222270011902,scored,test
112,AR,ACTEMRA,10043833,not_event,9.534852409362793,0.0,scored,test
113,AR,ACTEMRA,10044223,not_event,4.576619462668896,0.011003775397936504,scored,test
114,AR,ACTEMRA,10044390,not_event,9.207743644714355,0.0,scored,test
115,AR,ACTEMRA,10044755,not_event,3.250312387943268,0.42416098713874817,scored,test
116,AR,ACTEMRA,10045285,not_event,9.43743101755778,0.0,scored,test
117,AR,ACTEMRA,10046306,is_event,0.4308653005531856,4.86894382749285,scored,test
118,AR,ACTEMRA,10046571,is_event,0.8696660759548346,1.4818001363116007,scored,test
119,AR,ACTEMRA,10046735,is_event,0.0,5.983227252960205,scored,test
120,AR,ACTEMRA,10046980,is_event,0.0,7.00007963180542,scored,test
121,AR,ACTEMRA,10047890,not_event,9.355264663696289,0.0,scored,test
122,AR,ACTEMRA,10047899,is_event,0.0,7.494742155075073,scored,test
123,AR,ACTEMRA,10049030,is_event,0.0,3.1651711463928223,scored,test
124,AR,ACTEMRA,10050206,not_event,2.966612497965494,0.0,scored,test
125,AR,ACTEMRA,10051792,is_event,0.0,7.14049768447876,scored,test
126,AR,ACTEMRA,10052235,not_event,9.522985696792603,0.0,scored,test
127,AR,ACTEMRA,10052995,not_event,9.4222046988351,0.0,scored,test
128,AR,ACTEMRA,10053155,is_event,0.0,7.496350765228271,scored,test
129,AR,ACTEMRA,10053555,is_event,4.315113067626953,0.0,scored,test
130,AR,ACTEMRA,10054889,is_event,0.0,5.108341693878174,scored,test
131,AR,ACTEMRA,10055798,not_event,0.0,7.017840226491292,scored,test
132,AR,ACTEMRA,10057645,not_event,8.925609588623047,0.0,scored,test
133,AR,ACTEMRA,10058063,is_event,7.294977903366089,0.0,scored,test
134,AR,ACTEMRA,10059176,not_event,8.833178043365479,0.0,scored,test
135,AR,ACTEMRA,10059693,not_event,9.202492713928223,0.0,scored,test
136,AR,ACTEMRA,10060345,not_event,9.405772962068257,0.0,scored,test
137,AR,ACTEMRA,10060795,is_event,0.0,4.704301238059998,scored,test
138,AR,ACTEMRA,10060933,not_event,9.17756404876709,0.0,scored,test
139,AR,ACTEMRA,10061217,not_event,9.390453338623047,0.0,scored,test
140,AR,ACTEMRA,10061280,not_event,9.057493209838867,0.0,scored,test
141,AR,ACTEMRA,10061346,not_event,9.550192270523462,0.0,scored,test
142,AR,ACTEMRA,10061623,not_event,9.221526622772217,0.0,scored,test
143,AR,ACTEMRA,10062026,not_event,9.171651840209961,0.0,scored,test
144,AR,ACTEMRA,10062120,not_event,9.531940460205078,0.0,scored,test
145,AR,ACTEMRA,10062352,not_event,4.908473228866404,0.0,scored,test
146,AR,ACTEMRA,10062685,is_event,3.1302462816238403,0.0,scored,test
147,AR,ACTEMRA,10066274,not_event,8.313735723495483,0.0,scored,test
148,AR,ACTEMRA,10066817,not_event,1.390791614850362,0.0,scored,test
149,AR,ACTEMRA,10067152,is_event,0.0,2.7944152355194087,scored,test
150,AR,ACTEMRA,10067484,not_event,9.251038742065429,0.0,scored,test
151,AR,ACTEMRA,10071583,is_event,0.07489053408304851,2.7414795557657876,scored,test
152,AR,ACTEMRA,10072599,not_event,9.517773389816284,0.0,scored,test
153,AR,ACTEMRA,10073755,not_event,8.912020683288574,0.0,scored,test
154,AR,ACTEMRA,10074170,not_event,6.555755615234375,0.0,scored,test
155,AR,ACTEMRA,10074171,not_event,8.604853630065918,0.0,scored,test
156,AR,ACTEMRA,10076705,not_event,2.2726506761142184,0.3150721362658909,scored,test
157,AR,ACTEMRA,10081111,not_event,8.92738342285156,0.0,scored,test
158,AR,ACTEMRA,10083622,not_event,9.53760814666748,0.0,scored,test
159,AR,ADEMPAS,10000060,is_event,0.0,7.514048099517822,scored,test
160,AR,ADEMPAS,10002026,not_event,9.556380907694498,0.0,scored,test
161,AR,ADEMPAS,10002034,is_event,0.0,7.497617244720458,scored,test
162,AR,ADEMPAS,10005169,not_event,5.195322513580321,0.0,scored,test
163,AR,ADEMPAS,10005373,not_event,9.53106689453125,0.0,scored,test
164,AR,ADEMPAS,10005416,not_event,9.56047248840332,0.0,scored,test
165,AR,ADEMPAS,10005439,not_event,9.558295408884684,0.0,scored,test
166,AR,ADEMPAS,10005616,not_event,9.531485557556152,0.0,scored,test
167,AR,ADEMPAS,10005717,not_event,9.557150829129103,0.0,scored,test
