drug_name,section_name,gpt4_output
KYPROLIS,adverse reactions,"Cardiac Toxicities, Acute Renal Failure, Tumor Lysis Syndrome, Pulmonary Toxicity, Pulmonary Hypertension, Dyspnea, Hypertension, Venous Thrombosis, Infusion Reactions, Thrombocytopenia, Hepatic Toxicity, Hepatic Failure, Thrombotic Thrombocytopenic Purpura/Hemolytic Uremic Syndrome, Posterior Reversible Encephalopathy Syndrome, Anemia, Fatigue, Nausea, Pyrexia, Decreased Platelets, Diarrhea, Decreased Lymphocyte, Headache, Decreased Hemoglobin, Cough, Edema Peripheral, Decreased Lymphocytes, Decreased Absolute Neutrophil Count, Decreased Phosphorus, Neutropenia, Decreased Total White Blood Cell Count, Muscle Spasm, Upper Respiratory Tract Infection, Hypokalemia, Pneumonia, Respiratory Tract Infection, Pulmonary Embolism, Febrile Neutropenia, Lymphopenia, Cardiac Arrest, Cardiac Failure, Cardiac Failure Congestive, Myocardial Infarction, Myocardial Ischemia, Cataract, Vision Blurred, Abdominal Pain, Abdominal Pain Upper, Dyspepsia, Toothache, Chills, Infusion Site Reaction, Multi-Organ Failure, Pain, Influenza, Sepsis, Urinary Tract Infection, Viral Infection, Dehydration, Hyperkalemia, Hyperuricemia, Hypoalbuminemia, Hyponatremia, Tumor Lysis Syndrome, Muscular Weakness, Myalgia, Hypoesthesia, Paresthesia, Deafness, Anxiety, Delirium, Renal Failure, Renal Failure Acute, Renal Impairment, Dysphonia, Epistaxis, Oropharyngeal Pain, Pulmonary Edema, Erythema, Hyperhidrosis, Pruritus, Deep Vein Thrombosis, Hypotension, Cardiac Disorders, Embolic and Thrombotic Events, Venous, Hypertension, Blood and Lymphatic System Disorders, Gastrointestinal Disorders, General Disorders and Administration Site Conditions, Infections and Infestations, Metabolism and Nutrition Disorders, Musculoskeletal and Connective Tissue Disorders, Nervous System Disorders, Psychiatric Disorders, Respiratory, Thoracic, and Mediastinal Disorders, Skin and Subcutaneous Tissue Disorders, Vascular Disorders."
KYPROLIS,warnings and precautions,"Cardiac toxicities, cardiac failure, myocardial infarction, myocardial ischemia, Acute Renal Failure, Tumor Lysis Syndrome (TLS), Pulmonary Toxicity, Acute Respiratory Distress Syndrome, acute respiratory failure, acute diffuse infiltrative pulmonary disease, Pulmonary Hypertension, Dyspnea, Hypertension, hypertensive crisis, Venous Thrombosis, Infusion Reactions, Thrombocytopenia, Hepatic Toxicity, Hepatic Failure, Thrombotic thrombocytopenic purpura/hemolytic uremic syndrome (TTP/HUS), Posterior reversible encephalopathy syndrome (PRES), Embryo-fetal Toxicity."
MULTAQ,adverse reactions,"New or worsening heart failure, Liver Injury, Pulmonary toxicity, Hypokalemia, Hypomagnesemia, QT prolongation, Diarrhea, Nausea, Abdominal pain, Vomiting, Asthenia, Gastrointestinal disorders, Bradycardia, Dyspeptic signs and symptoms, Asthenic conditions, Skin and subcutaneous tissue reactions, Photosensitivity reaction, Dysgeusia, Increased creatinine, Dronedarone 400 mg twice daily, Atrial flutter with 1:1 atrioventricular conduction, Interstitial lung disease, Pneumonitis, Pulmonary fibrosis, Anaphylactic reactions, Angioedema, Vasculitis, Leukocytoclastic vasculitis."
MULTAQ,boxed warnings,"Increased risk of death, Stroke, Heart failure, Symptomatic heart failure, Decompensation requiring hospitalization, NYHA Class IV heart failure, Permanent atrial fibrillation, Hospitalization for heart failure."
MULTAQ,warnings and precautions,"Cardiac rhythm, Liver injury, Pulmonary toxicity, Hypokalemia, Hypomagnesemia, Renal Impairment, Teratogen, Cardiovascular Death, Decompensated Heart Failure, Stroke, New Onset or Worsening Heart Failure, Hepatocellular liver injury, Acute liver failure, Anorexia, Nausea, Vomiting, Fever, Malaise, Fatigue, Right upper quadrant pain, Jaundice, Dark urine, Itching, Interstitial lung disease, Pneumonitis, Pulmonary fibrosis, Dyspnea, Non-productive cough, QT Interval Prolongation, Renal Impairment and Failure, Serum creatinine, Pre-renal azotemia, Acute renal failure"
JUBLIA,adverse reactions,"Ingrown toenails, Application site dermatitis, Application site vesicles, Application site pain"
TEFLARO,adverse reactions,"Hypersensitivity Reactions, Clostridium difficile -Associated diarrhea, Direct Coombs' Test Seroconversion, Diarrhea, Nausea, Rash, Constipation, Vomiting, Increased transaminases, Hypokalemia, Phlebitis, Anemia, Eosinophilia, Neutropenia, Thrombocytopenia, Bradycardia, Palpitations, Abdominal pain, Pyrexia, Hepatitis, Hypersensitivity, Anaphylaxis, Clostridium difficile colitis, Hyperglycemia, Hyperkalemia, Dizziness, Convulsion, Renal failure, Urticaria, Agranulocytosis."
TEFLARO,warnings and precautions,"Serious hypersensitivity (anaphylactic) reactions, Clostridium difficile -associated diarrhea (CDAD), Direct Coombs' test seroconversion, anemia, drug-induced hemolytic anemia, serious skin reactions, fatal colitis, morbidity, mortality, development of drug-resistant bacteria"
DATSCAN,adverse reactions,"Hypersensitivity, injection site reactions, headache, nausea, vertigo, dry mouth, dizziness, rash, pruritis, injection site pain"
DATSCAN,warnings and precautions,"Hypersensitivity reactions, skin erythema, pruritis, anaphylactic reaction, thyroid accumulation, thyroid neoplasia"
