,drug_name,ade_type,n_manual,n_gpt,tp,fp,fn,precision,recall,f1
0,KYPROLIS,all,128,94,91,3.0,37,0.9680851063829787,0.7109375,0.8198198198198199
1,KYPROLIS,exact-meddra,104,94,82,,22,,0.7884615384615384,
2,KYPROLIS,non-meddra,25,94,9,,16,,0.36,
3,KYPROLIS,negated,0,94,0,,0,,,
4,KYPROLIS,discontinuous,3,94,0,,3,,0.0,
5,MULTAQ,all,39,27,27,0.0,12,1.0,0.6923076923076923,0.8181818181818181
6,MULTAQ,exact-meddra,26,27,24,,2,,0.9230769230769231,
7,MULTAQ,non-meddra,13,27,3,,10,,0.23076923076923078,
8,MULTAQ,negated,0,27,0,,0,,,
9,MULTAQ,discontinuous,5,27,0,,5,,0.0,
10,JUBLIA,all,5,4,4,0.0,1,1.0,0.8,0.888888888888889
11,JUBLIA,exact-meddra,3,4,3,,0,,1.0,
12,JUBLIA,non-meddra,2,4,1,,1,,0.5,
13,JUBLIA,negated,0,4,0,,0,,,
14,JUBLIA,discontinuous,0,4,0,,0,,,
15,TEFLARO,all,30,31,29,2.0,1,0.9354838709677419,0.9666666666666667,0.9508196721311476
16,TEFLARO,exact-meddra,26,31,26,,0,,1.0,
17,TEFLARO,non-meddra,4,31,3,,1,,0.75,
18,TEFLARO,negated,0,31,0,,0,,,
19,TEFLARO,discontinuous,0,31,0,,0,,,
20,DATSCAN,all,11,10,10,0.0,1,1.0,0.9090909090909091,0.9523809523809523
21,DATSCAN,exact-meddra,8,10,8,,0,,1.0,
22,DATSCAN,non-meddra,3,10,2,,1,,0.6666666666666666,
23,DATSCAN,negated,0,10,0,,0,,,
24,DATSCAN,discontinuous,0,10,0,,0,,,
25,TIVICAY,all,45,31,28,3.0,17,0.9032258064516129,0.6222222222222222,0.7368421052631579
26,TIVICAY,exact-meddra,30,31,22,,8,,0.7333333333333333,
27,TIVICAY,non-meddra,15,31,6,,9,,0.4,
28,TIVICAY,negated,0,31,0,,0,,,
29,TIVICAY,discontinuous,8,31,6,,2,,0.75,
30,TAFINLAR,all,112,11,7,4.0,105,0.6363636363636364,0.0625,0.11382113821138211
31,TAFINLAR,exact-meddra,94,11,5,,89,,0.05319148936170213,
32,TAFINLAR,non-meddra,18,11,2,,16,,0.1111111111111111,
33,TAFINLAR,negated,0,11,0,,0,,,
34,TAFINLAR,discontinuous,0,11,0,,0,,,
35,HORIZANT,all,27,27,26,1.0,1,0.9629629629629629,0.9629629629629629,0.9629629629629629
36,HORIZANT,exact-meddra,26,27,25,,1,,0.9615384615384616,
37,HORIZANT,non-meddra,1,27,1,,0,,1.0,
38,HORIZANT,negated,0,27,0,,0,,,
39,HORIZANT,discontinuous,0,27,0,,0,,,
40,IMBRUVICA,all,70,52,46,6.0,24,0.8846153846153846,0.6571428571428571,0.7540983606557377
41,IMBRUVICA,exact-meddra,55,52,41,,14,,0.7454545454545455,
42,IMBRUVICA,non-meddra,15,52,5,,10,,0.3333333333333333,
43,IMBRUVICA,negated,0,52,0,,0,,,
44,IMBRUVICA,discontinuous,2,52,0,,2,,0.0,
45,ULORIC,all,210,5,4,1.0,206,0.8,0.01904761904761905,0.037209302325581395
46,ULORIC,exact-meddra,187,5,3,,184,,0.016042780748663103,
47,ULORIC,non-meddra,23,5,1,,22,,0.043478260869565216,
48,ULORIC,negated,0,5,0,,0,,,
49,ULORIC,discontinuous,18,5,0,,18,,0.0,
50,CIMZIA,all,99,54,48,6.0,51,0.8888888888888888,0.48484848484848486,0.6274509803921569
51,CIMZIA,exact-meddra,76,54,44,,32,,0.5789473684210527,
52,CIMZIA,non-meddra,23,54,4,,19,,0.17391304347826086,
53,CIMZIA,negated,1,54,0,,1,,0.0,
54,CIMZIA,discontinuous,8,54,0,,8,,0.0,
55,KALYDECO,all,40,25,24,1.0,16,0.96,0.6,0.7384615384615384
56,KALYDECO,exact-meddra,24,25,22,,2,,0.9166666666666666,
57,KALYDECO,non-meddra,16,25,2,,14,,0.125,
58,KALYDECO,negated,0,25,0,,0,,,
59,KALYDECO,discontinuous,10,25,0,,10,,0.0,
60,FULYZAQ,all,36,36,36,0.0,0,1.0,1.0,1.0
61,FULYZAQ,exact-meddra,30,36,30,,0,,1.0,
62,FULYZAQ,non-meddra,6,36,6,,0,,1.0,
63,FULYZAQ,negated,0,36,0,,0,,,
64,FULYZAQ,discontinuous,0,36,0,,0,,,
65,QUTENZA,all,40,30,14,16.0,26,0.4666666666666667,0.35,0.4
66,QUTENZA,exact-meddra,34,30,12,,22,,0.35294117647058826,
67,QUTENZA,non-meddra,6,30,2,,4,,0.3333333333333333,
68,QUTENZA,negated,0,30,0,,0,,,
69,QUTENZA,discontinuous,0,30,0,,0,,,
70,GRANIX,all,8,8,2,6.0,6,0.25,0.25,0.25
71,GRANIX,exact-meddra,5,8,2,,3,,0.4,
72,GRANIX,non-meddra,3,8,0,,3,,0.0,
73,GRANIX,negated,0,8,0,,0,,,
74,GRANIX,discontinuous,0,8,0,,0,,,
75,COARTEM,all,81,78,76,2.0,5,0.9743589743589743,0.9382716049382716,0.9559748427672956
76,COARTEM,exact-meddra,78,78,75,,3,,0.9615384615384616,
77,COARTEM,non-meddra,3,78,1,,2,,0.3333333333333333,
78,COARTEM,negated,0,78,0,,0,,,
79,COARTEM,discontinuous,0,78,0,,0,,,
80,APTIOM,all,42,24,20,4.0,22,0.8333333333333334,0.47619047619047616,0.6060606060606061
81,APTIOM,exact-meddra,34,24,15,,19,,0.4411764705882353,
82,APTIOM,non-meddra,8,24,5,,3,,0.625,
83,APTIOM,negated,0,24,0,,0,,,
84,APTIOM,discontinuous,1,24,0,,1,,0.0,
85,PROLIA,all,69,12,10,2.0,59,0.8333333333333334,0.14492753623188406,0.2469135802469136
86,PROLIA,exact-meddra,43,12,8,,35,,0.18604651162790697,
87,PROLIA,non-meddra,26,12,2,,24,,0.07692307692307693,
88,PROLIA,negated,2,12,0,,2,,0.0,
89,PROLIA,discontinuous,8,12,0,,8,,0.0,
90,BLINCYTO,all,94,75,71,4.0,23,0.9466666666666667,0.7553191489361702,0.8402366863905325
91,BLINCYTO,exact-meddra,78,75,60,,18,,0.7692307692307693,
92,BLINCYTO,non-meddra,16,75,11,,5,,0.6875,
93,BLINCYTO,negated,1,75,0,,1,,0.0,
94,BLINCYTO,discontinuous,1,75,0,,1,,0.0,
95,STENDRA,all,55,6,5,1.0,50,0.8333333333333334,0.09090909090909091,0.16393442622950818
96,STENDRA,exact-meddra,53,6,5,,48,,0.09433962264150944,
97,STENDRA,non-meddra,2,6,0,,2,,0.0,
98,STENDRA,negated,0,6,0,,0,,,
99,STENDRA,discontinuous,0,6,0,,0,,,
100,XIAFLEX,all,71,44,38,6.0,33,0.8636363636363636,0.5352112676056338,0.6608695652173914
101,XIAFLEX,exact-meddra,48,44,30,,18,,0.625,
102,XIAFLEX,non-meddra,23,44,8,,15,,0.34782608695652173,
103,XIAFLEX,negated,0,44,0,,0,,,
