,drug_name,section,ade_type,n_manual,n_gpt,tp,fp,fn,precision,recall,f1
0,KYPROLIS,adverse reactions,all,128,86,83.0,3.0,45.0,0.9651162790697675,0.6484375,0.7757009345794393
1,KYPROLIS,adverse reactions,exact-meddra,104,86,76.0,,28.0,,0.7307692307692307,
2,KYPROLIS,adverse reactions,non-meddra,25,86,7.0,,18.0,,0.28,
3,KYPROLIS,adverse reactions,negated,0,86,0.0,,0.0,,,
4,KYPROLIS,adverse reactions,discontinuous,3,86,0.0,,3.0,,0.0,
5,KYPROLIS,warnings and precautions,all,65,23,23.0,0.0,42.0,1.0,0.35384615384615387,0.5227272727272727
6,KYPROLIS,warnings and precautions,exact-meddra,44,23,19.0,,25.0,,0.4318181818181818,
7,KYPROLIS,warnings and precautions,non-meddra,22,23,4.0,,18.0,,0.18181818181818182,
8,KYPROLIS,warnings and precautions,negated,0,23,0.0,,0.0,,,
9,KYPROLIS,warnings and precautions,discontinuous,1,23,0.0,,1.0,,0.0,
10,KYPROLIS,boxed warnings,all,0,0,,,,,,
11,KYPROLIS,boxed warnings,exact-meddra,0,0,,,,,,
12,KYPROLIS,boxed warnings,non-meddra,0,0,,,,,,
13,KYPROLIS,boxed warnings,negated,0,0,,,,,,
14,KYPROLIS,boxed warnings,discontinuous,0,0,,,,,,
15,KYPROLIS,all-concat,all,158,16,16.0,0.0,142.0,1.0,0.10126582278481013,0.18390804597701146
16,KYPROLIS,all-concat,exact-meddra,119,16,13.0,,106.0,,0.1092436974789916,
17,KYPROLIS,all-concat,non-meddra,40,16,3.0,,37.0,,0.075,
18,KYPROLIS,all-concat,negated,0,16,0.0,,0.0,,,
19,KYPROLIS,all-concat,discontinuous,4,16,0.0,,4.0,,0.0,
20,MULTAQ,adverse reactions,all,39,26,25.0,1.0,14.0,0.9615384615384616,0.6410256410256411,0.7692307692307693
21,MULTAQ,adverse reactions,exact-meddra,26,26,23.0,,3.0,,0.8846153846153846,
22,MULTAQ,adverse reactions,non-meddra,13,26,2.0,,11.0,,0.15384615384615385,
23,MULTAQ,adverse reactions,negated,0,26,0.0,,0.0,,,
24,MULTAQ,adverse reactions,discontinuous,5,26,0.0,,5.0,,0.0,
25,MULTAQ,warnings and precautions,all,24,21,14.0,7.0,10.0,0.6666666666666666,0.5833333333333334,0.6222222222222222
26,MULTAQ,warnings and precautions,exact-meddra,13,21,11.0,,2.0,,0.8461538461538461,
27,MULTAQ,warnings and precautions,non-meddra,11,21,3.0,,8.0,,0.2727272727272727,
28,MULTAQ,warnings and precautions,negated,0,21,0.0,,0.0,,,
29,MULTAQ,warnings and precautions,discontinuous,3,21,1.0,,2.0,,0.3333333333333333,
30,MULTAQ,boxed warnings,all,3,3,3.0,0.0,0.0,1.0,1.0,1.0
31,MULTAQ,boxed warnings,exact-meddra,3,3,3.0,,0.0,,1.0,
32,MULTAQ,boxed warnings,non-meddra,0,3,0.0,,0.0,,,
33,MULTAQ,boxed warnings,negated,0,3,0.0,,0.0,,,
34,MULTAQ,boxed warnings,discontinuous,0,3,0.0,,0.0,,,
35,MULTAQ,all-concat,all,56,12,12.0,0.0,44.0,1.0,0.21428571428571427,0.35294117647058826
36,MULTAQ,all-concat,exact-meddra,32,12,11.0,,21.0,,0.34375,
37,MULTAQ,all-concat,non-meddra,24,12,1.0,,23.0,,0.041666666666666664,
38,MULTAQ,all-concat,negated,0,12,0.0,,0.0,,,
39,MULTAQ,all-concat,discontinuous,8,12,0.0,,8.0,,0.0,
40,JUBLIA,adverse reactions,all,5,4,4.0,0.0,1.0,1.0,0.8,0.888888888888889
41,JUBLIA,adverse reactions,exact-meddra,3,4,3.0,,0.0,,1.0,
42,JUBLIA,adverse reactions,non-meddra,2,4,1.0,,1.0,,0.5,
43,JUBLIA,adverse reactions,negated,0,4,0.0,,0.0,,,
44,JUBLIA,adverse reactions,discontinuous,0,4,0.0,,0.0,,,
45,JUBLIA,warnings and precautions,all,0,0,,,,,,
46,JUBLIA,warnings and precautions,exact-meddra,0,0,,,,,,
47,JUBLIA,warnings and precautions,non-meddra,0,0,,,,,,
48,JUBLIA,warnings and precautions,negated,0,0,,,,,,
49,JUBLIA,warnings and precautions,discontinuous,0,0,,,,,,
50,JUBLIA,boxed warnings,all,0,0,,,,,,
51,JUBLIA,boxed warnings,exact-meddra,0,0,,,,,,
52,JUBLIA,boxed warnings,non-meddra,0,0,,,,,,
53,JUBLIA,boxed warnings,negated,0,0,,,,,,
54,JUBLIA,boxed warnings,discontinuous,0,0,,,,,,
55,JUBLIA,all-concat,all,5,4,4.0,0.0,1.0,1.0,0.8,0.888888888888889
56,JUBLIA,all-concat,exact-meddra,3,4,3.0,,0.0,,1.0,
57,JUBLIA,all-concat,non-meddra,2,4,1.0,,1.0,,0.5,
58,JUBLIA,all-concat,negated,0,4,0.0,,0.0,,,
59,JUBLIA,all-concat,discontinuous,0,4,0.0,,0.0,,,
60,TEFLARO,adverse reactions,all,30,30,28.0,2.0,2.0,0.9333333333333333,0.9333333333333333,0.9333333333333333
61,TEFLARO,adverse reactions,exact-meddra,26,30,25.0,,1.0,,0.9615384615384616,
62,TEFLARO,adverse reactions,non-meddra,4,30,3.0,,1.0,,0.75,
63,TEFLARO,adverse reactions,negated,0,30,0.0,,0.0,,,
64,TEFLARO,adverse reactions,discontinuous,0,30,0.0,,0.0,,,
65,TEFLARO,warnings and precautions,all,10,9,4.0,5.0,6.0,0.4444444444444444,0.4,0.4210526315789474
66,TEFLARO,warnings and precautions,exact-meddra,2,9,0.0,,2.0,,0.0,
67,TEFLARO,warnings and precautions,non-meddra,8,9,4.0,,4.0,,0.5,
