,drug_name,section,ade_type,n_manual,n_gpt,tp,fp,fn,precision,recall,f1
0,KYPROLIS,adverse reactions,all,128,106,101.0,5.0,27.0,0.9528301886792453,0.7890625,0.8632478632478633
1,KYPROLIS,adverse reactions,exact-meddra,104,106,92.0,,12.0,,0.8846153846153846,
2,KYPROLIS,adverse reactions,non-meddra,25,106,9.0,,16.0,,0.36,
3,KYPROLIS,adverse reactions,negated,0,106,0.0,,0.0,,,
4,KYPROLIS,adverse reactions,discontinuous,3,106,0.0,,3.0,,0.0,
5,KYPROLIS,warnings and precautions,all,65,55,46.0,9.0,19.0,0.8363636363636363,0.7076923076923077,0.7666666666666666
6,KYPROLIS,warnings and precautions,exact-meddra,44,55,38.0,,6.0,,0.8636363636363636,
7,KYPROLIS,warnings and precautions,non-meddra,22,55,8.0,,14.0,,0.36363636363636365,
8,KYPROLIS,warnings and precautions,negated,0,55,0.0,,0.0,,,
9,KYPROLIS,warnings and precautions,discontinuous,1,55,0.0,,1.0,,0.0,
10,KYPROLIS,boxed warnings,all,0,0,,,,,,
11,KYPROLIS,boxed warnings,exact-meddra,0,0,,,,,,
12,KYPROLIS,boxed warnings,non-meddra,0,0,,,,,,
13,KYPROLIS,boxed warnings,negated,0,0,,,,,,
14,KYPROLIS,boxed warnings,discontinuous,0,0,,,,,,
15,KYPROLIS,all-concat,all,158,97,95.0,2.0,63.0,0.979381443298969,0.6012658227848101,0.7450980392156863
16,KYPROLIS,all-concat,exact-meddra,119,97,83.0,,36.0,,0.6974789915966386,
17,KYPROLIS,all-concat,non-meddra,40,97,12.0,,28.0,,0.3,
18,KYPROLIS,all-concat,negated,0,97,0.0,,0.0,,,
19,KYPROLIS,all-concat,discontinuous,4,97,0.0,,4.0,,0.0,
20,MULTAQ,adverse reactions,all,39,30,28.0,2.0,11.0,0.9333333333333333,0.717948717948718,0.8115942028985509
21,MULTAQ,adverse reactions,exact-meddra,26,30,23.0,,3.0,,0.8846153846153846,
22,MULTAQ,adverse reactions,non-meddra,13,30,5.0,,8.0,,0.38461538461538464,
23,MULTAQ,adverse reactions,negated,0,30,0.0,,0.0,,,
24,MULTAQ,adverse reactions,discontinuous,5,30,0.0,,5.0,,0.0,
25,MULTAQ,warnings and precautions,all,24,20,15.0,5.0,9.0,0.75,0.625,0.6818181818181818
26,MULTAQ,warnings and precautions,exact-meddra,13,20,11.0,,2.0,,0.8461538461538461,
27,MULTAQ,warnings and precautions,non-meddra,11,20,4.0,,7.0,,0.36363636363636365,
28,MULTAQ,warnings and precautions,negated,0,20,0.0,,0.0,,,
29,MULTAQ,warnings and precautions,discontinuous,3,20,0.0,,3.0,,0.0,
30,MULTAQ,boxed warnings,all,3,3,3.0,0.0,0.0,1.0,1.0,1.0
31,MULTAQ,boxed warnings,exact-meddra,3,3,3.0,,0.0,,1.0,
32,MULTAQ,boxed warnings,non-meddra,0,3,0.0,,0.0,,,
33,MULTAQ,boxed warnings,negated,0,3,0.0,,0.0,,,
34,MULTAQ,boxed warnings,discontinuous,0,3,0.0,,0.0,,,
35,MULTAQ,all-concat,all,56,37,33.0,4.0,23.0,0.8918918918918919,0.5892857142857143,0.7096774193548389
36,MULTAQ,all-concat,exact-meddra,32,37,28.0,,4.0,,0.875,
37,MULTAQ,all-concat,non-meddra,24,37,5.0,,19.0,,0.20833333333333334,
38,MULTAQ,all-concat,negated,0,37,0.0,,0.0,,,
39,MULTAQ,all-concat,discontinuous,8,37,0.0,,8.0,,0.0,
40,JUBLIA,adverse reactions,all,5,4,4.0,0.0,1.0,1.0,0.8,0.888888888888889
41,JUBLIA,adverse reactions,exact-meddra,3,4,3.0,,0.0,,1.0,
42,JUBLIA,adverse reactions,non-meddra,2,4,1.0,,1.0,,0.5,
43,JUBLIA,adverse reactions,negated,0,4,0.0,,0.0,,,
44,JUBLIA,adverse reactions,discontinuous,0,4,0.0,,0.0,,,
45,JUBLIA,warnings and precautions,all,0,0,,,,,,
46,JUBLIA,warnings and precautions,exact-meddra,0,0,,,,,,
47,JUBLIA,warnings and precautions,non-meddra,0,0,,,,,,
48,JUBLIA,warnings and precautions,negated,0,0,,,,,,
49,JUBLIA,warnings and precautions,discontinuous,0,0,,,,,,
50,JUBLIA,boxed warnings,all,0,0,,,,,,
51,JUBLIA,boxed warnings,exact-meddra,0,0,,,,,,
52,JUBLIA,boxed warnings,non-meddra,0,0,,,,,,
53,JUBLIA,boxed warnings,negated,0,0,,,,,,
54,JUBLIA,boxed warnings,discontinuous,0,0,,,,,,
