,drug_name,ade_type,n_manual,n_gpt,tp,fp,fn,precision,recall,f1
0,KYPROLIS,all,128,16,20,0.0,108,1.0,0.15625,0.2702702702702703
1,KYPROLIS,exact-meddra,104,16,16,,88,,0.15384615384615385,
2,KYPROLIS,non-meddra,25,16,4,,21,,0.16,
3,KYPROLIS,negated,0,16,0,,0,,,
4,KYPROLIS,discontinuous,3,16,0,,3,,0.0,
5,MULTAQ,all,39,27,35,0.0,4,1.0,0.8974358974358975,0.945945945945946
6,MULTAQ,exact-meddra,26,27,26,,0,,1.0,
7,MULTAQ,non-meddra,13,27,9,,4,,0.6923076923076923,
8,MULTAQ,negated,0,27,0,,0,,,
9,MULTAQ,discontinuous,5,27,5,,0,,1.0,
10,JUBLIA,all,5,4,5,0.0,0,1.0,1.0,1.0
11,JUBLIA,exact-meddra,3,4,3,,0,,1.0,
12,JUBLIA,non-meddra,2,4,2,,0,,1.0,
13,JUBLIA,negated,0,4,0,,0,,,
14,JUBLIA,discontinuous,0,4,0,,0,,,
15,TEFLARO,all,30,30,30,1.0,0,0.967741935483871,1.0,0.9836065573770492
16,TEFLARO,exact-meddra,26,30,26,,0,,1.0,
17,TEFLARO,non-meddra,4,30,4,,0,,1.0,
18,TEFLARO,negated,0,30,0,,0,,,
19,TEFLARO,discontinuous,0,30,0,,0,,,
20,DATSCAN,all,11,7,8,0.0,3,1.0,0.7272727272727273,0.8421052631578948
21,DATSCAN,exact-meddra,8,7,6,,2,,0.75,
22,DATSCAN,non-meddra,3,7,2,,1,,0.6666666666666666,
23,DATSCAN,negated,0,7,0,,0,,,
24,DATSCAN,discontinuous,0,7,0,,0,,,
25,TIVICAY,all,45,35,36,2.0,9,0.9473684210526315,0.8,0.8674698795180723
26,TIVICAY,exact-meddra,30,35,29,,1,,0.9666666666666667,
27,TIVICAY,non-meddra,15,35,7,,8,,0.4666666666666667,
28,TIVICAY,negated,0,35,0,,0,,,
29,TIVICAY,discontinuous,8,35,6,,2,,0.75,
30,TAFINLAR,all,112,11,18,1.0,94,0.9473684210526315,0.16071428571428573,0.2748091603053435
31,TAFINLAR,exact-meddra,94,11,14,,80,,0.14893617021276595,
32,TAFINLAR,non-meddra,18,11,4,,14,,0.2222222222222222,
33,TAFINLAR,negated,0,11,0,,0,,,
34,TAFINLAR,discontinuous,0,11,0,,0,,,
35,HORIZANT,all,27,27,26,1.0,1,0.9629629629629629,0.9629629629629629,0.9629629629629629
36,HORIZANT,exact-meddra,26,27,25,,1,,0.9615384615384616,
37,HORIZANT,non-meddra,1,27,1,,0,,1.0,
38,HORIZANT,negated,0,27,0,,0,,,
39,HORIZANT,discontinuous,0,27,0,,0,,,
40,IMBRUVICA,all,70,59,57,4.0,13,0.9344262295081968,0.8142857142857143,0.8702290076335878
41,IMBRUVICA,exact-meddra,55,59,51,,4,,0.9272727272727272,
42,IMBRUVICA,non-meddra,15,59,6,,9,,0.4,
43,IMBRUVICA,negated,0,59,0,,0,,,
44,IMBRUVICA,discontinuous,2,59,0,,2,,0.0,
45,ULORIC,all,210,5,7,0.0,203,1.0,0.03333333333333333,0.06451612903225806
46,ULORIC,exact-meddra,187,5,4,,183,,0.0213903743315508,
47,ULORIC,non-meddra,23,5,3,,20,,0.13043478260869565,
48,ULORIC,negated,0,5,0,,0,,,
49,ULORIC,discontinuous,18,5,0,,18,,0.0,
50,CIMZIA,all,99,64,66,5.0,33,0.9295774647887324,0.6666666666666666,0.7764705882352941
51,CIMZIA,exact-meddra,76,64,55,,21,,0.7236842105263158,
52,CIMZIA,non-meddra,23,64,11,,12,,0.4782608695652174,
53,CIMZIA,negated,1,64,1,,0,,1.0,
54,CIMZIA,discontinuous,8,64,3,,5,,0.375,
55,KALYDECO,all,40,25,24,1.0,16,0.96,0.6,0.7384615384615384
56,KALYDECO,exact-meddra,24,25,22,,2,,0.9166666666666666,
57,KALYDECO,non-meddra,16,25,2,,14,,0.125,
58,KALYDECO,negated,0,25,0,,0,,,
59,KALYDECO,discontinuous,10,25,0,,10,,0.0,
60,FULYZAQ,all,36,36,36,0.0,0,1.0,1.0,1.0
61,FULYZAQ,exact-meddra,30,36,30,,0,,1.0,
