,drug_name,section,ade_type,n_manual,n_gpt,tp,fp,fn,precision,recall,f1
0,KYPROLIS,adverse reactions,all,128,95,91.0,4.0,37.0,0.9578947368421052,0.7109375,0.8161434977578476
1,KYPROLIS,adverse reactions,exact-meddra,104,95,82.0,,22.0,,0.7884615384615384,
2,KYPROLIS,adverse reactions,non-meddra,25,95,9.0,,16.0,,0.36,
3,KYPROLIS,adverse reactions,negated,0,95,0.0,,0.0,,,
4,KYPROLIS,adverse reactions,discontinuous,3,95,0.0,,3.0,,0.0,
5,KYPROLIS,warnings and precautions,all,65,39,34.0,5.0,31.0,0.8717948717948718,0.5230769230769231,0.6538461538461539
6,KYPROLIS,warnings and precautions,exact-meddra,44,39,23.0,,21.0,,0.5227272727272727,
7,KYPROLIS,warnings and precautions,non-meddra,22,39,11.0,,11.0,,0.5,
8,KYPROLIS,warnings and precautions,negated,0,39,0.0,,0.0,,,
9,KYPROLIS,warnings and precautions,discontinuous,1,39,0.0,,1.0,,0.0,
10,KYPROLIS,boxed warnings,all,0,0,,,,,,
11,KYPROLIS,boxed warnings,exact-meddra,0,0,,,,,,
12,KYPROLIS,boxed warnings,non-meddra,0,0,,,,,,
13,KYPROLIS,boxed warnings,negated,0,0,,,,,,
14,KYPROLIS,boxed warnings,discontinuous,0,0,,,,,,
15,KYPROLIS,all-concat,all,158,83,80.0,3.0,78.0,0.963855421686747,0.5063291139240507,0.6639004149377593
16,KYPROLIS,all-concat,exact-meddra,119,83,73.0,,46.0,,0.6134453781512605,
17,KYPROLIS,all-concat,non-meddra,40,83,7.0,,33.0,,0.175,
18,KYPROLIS,all-concat,negated,0,83,0.0,,0.0,,,
19,KYPROLIS,all-concat,discontinuous,4,83,0.0,,4.0,,0.0,
20,MULTAQ,adverse reactions,all,39,32,28.0,4.0,11.0,0.875,0.717948717948718,0.7887323943661971
21,MULTAQ,adverse reactions,exact-meddra,26,32,22.0,,4.0,,0.8461538461538461,
22,MULTAQ,adverse reactions,non-meddra,13,32,6.0,,7.0,,0.46153846153846156,
23,MULTAQ,adverse reactions,negated,0,32,0.0,,0.0,,,
24,MULTAQ,adverse reactions,discontinuous,5,32,0.0,,5.0,,0.0,
25,MULTAQ,warnings and precautions,all,24,20,13.0,7.0,11.0,0.65,0.5416666666666666,0.5909090909090908
26,MULTAQ,warnings and precautions,exact-meddra,13,20,10.0,,3.0,,0.7692307692307693,
27,MULTAQ,warnings and precautions,non-meddra,11,20,3.0,,8.0,,0.2727272727272727,
28,MULTAQ,warnings and precautions,negated,0,20,0.0,,0.0,,,
29,MULTAQ,warnings and precautions,discontinuous,3,20,1.0,,2.0,,0.3333333333333333,
30,MULTAQ,boxed warnings,all,3,3,3.0,0.0,0.0,1.0,1.0,1.0
31,MULTAQ,boxed warnings,exact-meddra,3,3,3.0,,0.0,,1.0,
32,MULTAQ,boxed warnings,non-meddra,0,3,0.0,,0.0,,,
33,MULTAQ,boxed warnings,negated,0,3,0.0,,0.0,,,
34,MULTAQ,boxed warnings,discontinuous,0,3,0.0,,0.0,,,
35,MULTAQ,all-concat,all,56,28,23.0,5.0,33.0,0.8214285714285714,0.4107142857142857,0.5476190476190476
36,MULTAQ,all-concat,exact-meddra,32,28,20.0,,12.0,,0.625,
37,MULTAQ,all-concat,non-meddra,24,28,3.0,,21.0,,0.125,
38,MULTAQ,all-concat,negated,0,28,0.0,,0.0,,,
39,MULTAQ,all-concat,discontinuous,8,28,0.0,,8.0,,0.0,
40,JUBLIA,adverse reactions,all,5,5,4.0,1.0,1.0,0.8,0.8,0.8000000000000002
41,JUBLIA,adverse reactions,exact-meddra,3,5,3.0,,0.0,,1.0,
42,JUBLIA,adverse reactions,non-meddra,2,5,1.0,,1.0,,0.5,
43,JUBLIA,adverse reactions,negated,0,5,0.0,,0.0,,,
44,JUBLIA,adverse reactions,discontinuous,0,5,0.0,,0.0,,,
45,JUBLIA,warnings and precautions,all,0,0,,,,,,
46,JUBLIA,warnings and precautions,exact-meddra,0,0,,,,,,
47,JUBLIA,warnings and precautions,non-meddra,0,0,,,,,,
48,JUBLIA,warnings and precautions,negated,0,0,,,,,,
49,JUBLIA,warnings and precautions,discontinuous,0,0,,,,,,
50,JUBLIA,boxed warnings,all,0,0,,,,,,
51,JUBLIA,boxed warnings,exact-meddra,0,0,,,,,,
52,JUBLIA,boxed warnings,non-meddra,0,0,,,,,,
53,JUBLIA,boxed warnings,negated,0,0,,,,,,
54,JUBLIA,boxed warnings,discontinuous,0,0,,,,,,
55,JUBLIA,all-concat,all,5,6,5.0,1.0,0.0,0.8333333333333334,1.0,0.9090909090909091
56,JUBLIA,all-concat,exact-meddra,3,6,3.0,,0.0,,1.0,
57,JUBLIA,all-concat,non-meddra,2,6,2.0,,0.0,,1.0,
58,JUBLIA,all-concat,negated,0,6,0.0,,0.0,,,
59,JUBLIA,all-concat,discontinuous,0,6,0.0,,0.0,,,
60,TEFLARO,adverse reactions,all,30,31,28.0,3.0,2.0,0.9032258064516129,0.9333333333333333,0.9180327868852459
61,TEFLARO,adverse reactions,exact-meddra,26,31,25.0,,1.0,,0.9615384615384616,
